Total Abgeordnete: 4379

Wassermann 422 Abgeordnete
Widder 392 Abgeordnete
Stier 388 Abgeordnete
Krebs 386 Abgeordnete
Zwillinge 384 Abgeordnete
Fische 371 Abgeordnete
Steinbock 367 Abgeordnete
Löwe 365 Abgeordnete
Jungfrau 341 Abgeordnete
Waage 340 Abgeordnete
Schütze 335 Abgeordnete
Skorpion 288 Abgeordnete

Waage 340 Abgeordnete
11004037, 'Thomas', 'Gambke', '16.10.1949', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004042, 'Heinz', 'Golombeck', '19.10.1948', 'FDP', 'Waage'
11004060, 'Andrej', 'Hunko', '29.09.1963', 'BSW', 'Waage'
11004066, 'Uwe', 'Kekeritz', '09.10.1953', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004092, 'Ursula', 'Leyen', '08.10.1958', 'CDU', 'Waage'
11004100, 'Jan-Marco', 'Luczak', '02.10.1975', 'CDU', 'Waage'
11004102, 'Oliver', 'Luksic', '09.10.1979', 'FDP', 'Waage'
11004108, 'Andreas', 'Mattfeldt', '28.09.1969', 'CDU', 'Waage'
11004117, 'Beate', 'Müller-Gemmeke', '07.10.1960', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004122, 'Thomas', 'Nord', '19.10.1957', 'DIE LINKE.', 'Waage'
11004135, 'Lothar', 'Riebsamen', '24.09.1957', 'CDU', 'Waage'
11004148, 'Jimmy', 'Schulz', '22.10.1968', 'FDP', 'Waage'
11004158, 'Werner', 'Simmling', '27.09.1944', 'FDP', 'Waage'
11004159, 'Judith', 'Skudelny', '02.10.1975', 'FDP', 'Waage'
11004164, 'Sonja', 'Steffen', '22.10.1963', 'SPD', 'Waage'
11004170, 'Karin', 'Strenz', '14.10.1967', 'CDU', 'Waage'
11004181, 'Kathrin', 'Vogler', '29.09.1963', 'DIE LINKE.', 'Waage'
11004191, 'Dagmar', 'Ziegler', '28.09.1960', 'SPD', 'Waage'
11004197, 'Yvonne', 'Ploetz', '28.09.1984', 'DIE LINKE.', 'Waage'
11004243, 'Luise', 'Amtsberg', '17.10.1984', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004250, 'Maik', 'Beermann', '19.10.1981', 'CDU', 'Waage'
11004266, 'Michaela', 'Engelmeier', '10.10.1960', 'SPD', 'Waage'
11004277, 'Astrid', 'Freudenstein', '09.10.1973', 'CSU', 'Waage'
11004297, 'Marcus', 'Held', '15.10.1977', 'SPD', 'Waage'
11004306, 'Margaret', 'Horb', '25.09.1967', 'CDU', 'Waage'
11004328, 'Cansel', 'Kiziltepe', '08.10.1975', 'SPD', 'Waage'
11004334, 'Roy', 'Kühne', '27.09.1967', 'CDU', 'Waage'
11004342, 'Andrea', 'Lindholz', '25.09.1970', 'CSU', 'Waage'
11004350, 'Reiner', 'Meier', '15.10.1953', 'CSU', 'Waage'
11004357, 'Elisabeth', 'Motschmann', '13.10.1952', 'CDU', 'Waage'
11004377, 'Sabine', 'Poschmann', '04.10.1968', 'SPD', 'Waage'
11004389, 'Martin', 'Rosemann', '20.10.1976', 'SPD', 'Waage'
11004390, 'Corinna', 'Rüffer', '11.10.1975', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004392, 'Bernd', 'Rützel', '02.10.1968', 'SPD', 'Waage'
11004411, 'Norbert', 'Spinrath', '26.09.1957', 'SPD', 'Waage'
11004427, 'Volker', 'Ullrich', '14.10.1975', 'CSU', 'Waage'
11004439, 'Albert', 'Weiler', '15.10.1965', 'CDU', 'Waage'
11004442, 'Bernd', 'Westphal', '30.09.1960', 'SPD', 'Waage'
11004445, 'Oliver', 'Wittke', '24.09.1966', 'CDU', 'Waage'
11004604, 'Kordula', 'Kovac', '22.10.1957', 'CDU', 'Waage'
11004643, 'Marion Marga', 'Herdan', '20.10.1958', 'CDU', 'Waage'
11004659, 'Lisa', 'Badum', '02.10.1983', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004660, 'Simone', 'Barrientos', '05.10.1963', 'DIE LINKE.', 'Waage'
11004664, 'Danyal', 'Bayaz', '15.10.1983', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004670, 'Melanie', 'Bernstein', '28.09.1976', 'CDU', 'Waage'
11004677, 'Mario', 'Brandenburg', '03.10.1983', 'FDP', 'Waage'
11004682, 'Sebastian', 'Brehm', '18.10.1971', 'CSU', 'Waage'
11004694, 'Anna', 'Christmann', '24.09.1983', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004734, 'Thomas', 'Hacker', '09.10.1967', 'FDP', 'Waage'
11004762, 'Ottmar', 'Holtz', '27.09.1961', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
11004891, 'Thomas', 'Seitz', '08.10.1967', 'AfD', 'Waage'
11004933, 'Wolfgang', 'Wiehle', '20.10.1964', 'AfD', 'Waage'
11004934, 'Bettina Margarethe', 'Wiesmann', '20.10.1966', 'CDU', 'Waage'
11004937, 'Uwe', 'Witt', '01.10.1959', 'Plos', 'Waage'
11004942, 'Marja-Liisa', 'Völlers', '28.09.1984', 'SPD', 'Waage'
11004949, 'Isabel', 'Mackensen', '29.09.1986', 'SPD', 'Waage'
11004957, 'Bela', 'Bach', '30.09.1990', 'SPD', 'Waage'
11005013, 'Tobias', 'Bacherle', '18.10.1994', 'BÜNDNIS 90/DIE GRÜNEN', 'Waage'
